Employee_ID,Task_ID,Assigned_Date,Completed_Date,Completion_Time,Feedback_Score
101,201,2024-07-01,2024-07-10,38,4.5
102,202,2024-07-02,2024-07-05,18,4.2
103,203,2024-07-03,2024-07-12,28,4.7
104,204,2024-07-04,2024-07-06,14,4.0
105,205,2024-07-05,2024-07-06,9,4.8
106,206,2024-07-06,2024-07-14,24,4.6
107,207,2024-07-07,2024-07-15,20,4.1
108,208,2024-07-08,2024-07-16,17,4.3
109,209,2024-07-09,2024-07-17,19,4.4
110,210,2024-07-10,2024-07-18,33,4.9
101,202,2024-07-11,2024-07-19,22,4.0
103,204,2024-07-12,2024-07-20,12,3.9
106,205,2024-07-13,2024-07-21,10,4.2
108,207,2024-07-14,2024-07-22,15,4.1
110,209,2024-07-15,2024-07-23,21,4.6
