Task_ID,Description,Required_Skills,Priority (1-5),Estimated_Time (Hours),Task_Complexity (1-10)
201,Build ML Model,"Python, ML, SQL",5,40,8
202,Design Homepage UI,"UI/UX, Figma, HTML",4,20,6
203,Implement Authentication System,"Java, React, SQL",5,30,9
204,Write Test Cases,"Selenium, Python",3,15,5
205,Create Project Timeline,"Project Mgmt, Agile",4,10,4
206,Develop Chatbot API,"Node.js, Express, MongoDB",5,25,7
207,Optimize SQL Database,"SQL, Databases, Optimization",3,22,6
208,Redesign Mobile App UI,"Photoshop, Adobe XD, CSS",4,18,7
209,Automate Testing Scripts,"Java, Unit Testing",3,16,5
210,Set Up Cloud Infrastructure,"Cloud, AWS, DevOps",5,35,9
990,,"Python, Data Analysis",4,10,7
121,,"Selenium, Figma, HTML",4,10,7
121,,"Selenium, Python",4,10,7
130,,Java,4,10,7
132,,HTML,4,10,7
999,,"HTML, Figma",4,10,7
1000,,"Java, Node.js, Express",4,10,7
9999,,"Java, Node.js, Express",5,10,10
150,,Java,5,10,10
